code,name,description,category,url,status
application/vemmi,,,application,,active
application/vnd.1000minds.decision-model+xml,,,application,,active
application/vnd.3gpp.access-transfer-events+xml,,,application,,active
application/vnd.3gpp.bsf+xml,,,application,,active
application/vnd.3gpp.mid-call+xml,,,application,,active
application/vnd.3gpp.pic-bw-large,,,application,,active
application/vnd.3gpp.pic-bw-small,,,application,,active
application/vnd.3gpp.pic-bw-var,,,application,,active
application/vnd.3gpp-prose-pc3ch+xml,,,application,,active
application/vnd.3gpp-prose+xml,,,application,,active
application/vnd.3gpp.sms,,,application,,active
application/vnd.3gpp.sms+xml,,,application,,active
application/vnd.3gpp.srvcc-ext+xml,,,application,,active
application/vnd.3gpp.SRVCC-info+xml,,,application,,active
application/vnd.3gpp.state-and-event-info+xml,,,application,,active
application/vnd.3gpp.ussd+xml,,,application,,active
application/vnd.3gpp2.bcmcsinfo+xml,,,application,,active
application/vnd.3gpp2.sms,,,application,,active
application/vnd.3gpp2.tcap,,,application,,active
application/vnd.3lightssoftware.imagescal,,,application,,active
application/vnd.3M.Post-it-Notes,,,application,,active
application/vnd.accpac.simply.aso,,,application,,active
application/vnd.accpac.simply.imp,,,application,,active
application/vnd.acucobol,,,application,,active
application/vnd.acucorp,,,application,,active
application/vnd.adobe.flash.movie,,,application,,active
application/vnd.adobe.formscentral.fcdt,,,application,,active
application/vnd.adobe.fxp,,,application,,active
application/vnd.adobe.partial-upload,,,application,,active
application/vnd.adobe.xdp+xml,,,application,,active
application/vnd.adobe.xfdf,,,application,,active
application/vnd.aether.imp,,,application,,active
application/vnd.ah-barcode,,,application,,active
application/vnd.ahead.space,,,application,,active
application/vnd.airzip.filesecure.azf,,,application,,active
application/vnd.airzip.filesecure.azs,,,application,,active
application/vnd.amazon.mobi8-ebook,,,application,,active
application/vnd.americandynamics.acc,,,application,,active
application/vnd.amiga.ami,,,application,,active
application/vnd.amundsen.maze+xml,,,application,,active
application/vnd.anki,,,application,,active
application/vnd.anser-web-certificate-issue-initiation,,,application,,active
application/vnd.antix.game-component,,,application,,active
application/vnd.apache.thrift.binary,,,application,,active
application/vnd.apache.thrift.compact,,,application,,active
application/vnd.apache.thrift.json,,,application,,active
application/vnd.api+json,,,application,,active
application/vnd.apothekende.reservation+json,,,application,,active
