code,name,description,category,url,status
47050,International Cotton Advisory Committee,,,,active
47051,International Centre for Agricultural Research in Dry Areas,,,,active
47053,Centre for Health and Population Research,,,,active
47054,International Centre of Insect Physiology and Ecology,,,,active
47055,International Centre for Development Oriented Research in Agriculture,,,,active
47056,World AgroForestry Centre,,,,active
47057,International Crop Research for Semi-Arid Tropics,,,,active
47058,International Institute for Democracy and Electoral Assistance,,,,active
47059,International Development Law Organisation,,,,active
47060,International Institute for Cotton,,,,active
47061,Inter-American Institute for Co-operation on Agriculture,,,,active
47062,International Institute of Tropical Agriculture,,,,active
47063,International Livestock Research Institute,,,,active
47064,International Network for Bamboo and Rattan,,,,active
47065,Intergovernmental Oceanographic Commission,,,,active
47066,International Organisation for Migration,,,,active
47067,Intergovernmental Panel on Climate Change,,,,active
47068,Asia-Pacific Fishery Commission,,,,active
47069,Biodiversity International,,,,active
47070,International Rice Research Institute,,,,active
47071,International Seed Testing Association,,,,active
47073,International Tropical Timber Organisation,,,,active
47074,International Vaccine Institute,,,,active
47075,International Water Management Institute,,,,active
47076,Justice Studies Centre of the Americas,,,,active
47077,Mekong River Commission,,,,active
47078,Multilateral Fund for the Implementation of the Montreal Protocol,,,,active
47079,Organisation of American States,,,,active
47080,Organisation for Economic Co-operation and Development (Contributions to special funds for Technical Co-operation Activities Only),,,,active
47081,OECD Development Centre,,,,active
47082,Organisation of Eastern Caribbean States,,,,active
47083,Pan-American Health Organisation,,,,active
47084,Pan-American Institute of Geography and History,,,,active
47085,Pan-American Railway Congress Association,,,,active
47086,Private Infrastructure Development Group,,,,active
47087,Pacific Islands Forum Secretariat,,,,active
47088,Relief Net,,,,active
47089,Southern African Development Community,,,,active
47090,Southern African Transport and Communications Commission,,,,active
47091,(Colombo Plan) Special Commonwealth African Assistance Programme,,,,active
47092,South East Asian Fisheries Development Centre,,,,active
47093,South East Asian Ministers of Education,,,,active
47094,South Pacific Applied Geoscience Commission,,,,active
47095,South Pacific Board for Educational Assessment,,,,active
47096,Secretariat of the Pacific Community,,,,active
47097,Pacific Regional Environment Programme,,,,active
47098,Unrepresented Nations and Peoples' Organisation,,,,active
47099,University of the South Pacific,,,,active
47100,West African Monetary Union,,,,active
47101,Africa Rice Centre,,,,active
47102,World Customs Organisation Fellowship Programme,,,,active
47103,World Maritime University,,,,active
47104,WorldFish Centre,,,,active
47105,Common Fund for Commodities,,,,active
47106,Geneva Centre for the Democratic Control of Armed Forces,,,,active
47107,International Finance Facility for Immunisation,,,,active
47108,Multi-Country Demobilisation and Reintegration Program,,,,active
47109,Asia-Pacific Economic Cooperation Support Fund (except contributions tied to counter-terrorism activities),,,,active
47110,Organisation of the Black Sea Economic Cooperation,,,,active
47111,Adaptation Fund,,,,active
