code,name,description,language,category,category-name,category-description
application/sbml+xml,,,en,application,,
application/scaip+xml,,,en,application,,
application/scim+json,,,en,application,,
application/scvp-cv-request,,,en,application,,
application/scvp-cv-response,,,en,application,,
application/scvp-vp-request,,,en,application,,
application/scvp-vp-response,,,en,application,,
application/sdp,,,en,application,,
application/sep-exi,,,en,application,,
application/sep+xml,,,en,application,,
application/session-info,,,en,application,,
application/set-payment,,,en,application,,
application/set-payment-initiation,,,en,application,,
application/set-registration,,,en,application,,
application/set-registration-initiation,,,en,application,,
application/sgml,,,en,application,,
application/sgml-open-catalog,,,en,application,,
application/shf+xml,,,en,application,,
application/sieve,,,en,application,,
application/simple-filter+xml,,,en,application,,
application/simple-message-summary,,,en,application,,
application/simpleSymbolContainer,,,en,application,,
application/slate,,,en,application,,
application/smil,,,en,application,,
application/smil+xml,,,en,application,,
application/smpte336m,,,en,application,,
application/soap+fastinfoset,,,en,application,,
application/soap+xml,,,en,application,,
application/sparql-query,,,en,application,,
application/sparql-results+xml,,,en,application,,
application/spirits-event+xml,,,en,application,,
application/sql,,,en,application,,
application/srgs,,,en,application,,
application/srgs+xml,,,en,application,,
application/sru+xml,,,en,application,,
application/ssml+xml,,,en,application,,
application/tamp-apex-update,,,en,application,,
application/tamp-apex-update-confirm,,,en,application,,
application/tamp-community-update,,,en,application,,
application/tamp-community-update-confirm,,,en,application,,
application/tamp-error,,,en,application,,
application/tamp-sequence-adjust,,,en,application,,
application/tamp-sequence-adjust-confirm,,,en,application,,
application/tamp-status-query,,,en,application,,
application/tamp-status-response,,,en,application,,
application/tamp-update,,,en,application,,
application/tamp-update-confirm,,,en,application,,
application/tei+xml,,,en,application,,
application/thraud+xml,,,en,application,,
application/timestamp-query,,,en,application,,
application/timestamp-reply,,,en,application,,
application/timestamped-data,,,en,application,,
application/trig,,,en,application,,
application/ttml+xml,,,en,application,,
application/tve-trigger,,,en,application,,
application/ulpfec,,,en,application,,
application/urc-grpsheet+xml,,,en,application,,
application/urc-ressheet+xml,,,en,application,,
application/urc-targetdesc+xml,,,en,application,,
application/urc-uisocketdesc+xml,,,en,application,,
application/vcard+json,,,en,application,,
application/vcard+xml,,,en,application,,
application/vemmi,,,en,application,,
application/vnd.1000minds.decision-model+xml,,,en,application,,
application/vnd.3gpp.access-transfer-events+xml,,,en,application,,
application/vnd.3gpp.bsf+xml,,,en,application,,
application/vnd.3gpp.mid-call+xml,,,en,application,,
application/vnd.3gpp.pic-bw-large,,,en,application,,
application/vnd.3gpp.pic-bw-small,,,en,application,,
application/vnd.3gpp.pic-bw-var,,,en,application,,
application/vnd.3gpp-prose-pc3ch+xml,,,en,application,,
application/vnd.3gpp-prose+xml,,,en,application,,
application/vnd.3gpp.sms,,,en,application,,
application/vnd.3gpp.sms+xml,,,en,application,,
application/vnd.3gpp.srvcc-ext+xml,,,en,application,,
application/vnd.3gpp.SRVCC-info+xml,,,en,application,,
application/vnd.3gpp.state-and-event-info+xml,,,en,application,,
application/vnd.3gpp.ussd+xml,,,en,application,,
application/vnd.3gpp2.bcmcsinfo+xml,,,en,application,,
application/vnd.3gpp2.sms,,,en,application,,
application/vnd.3gpp2.tcap,,,en,application,,
application/vnd.3lightssoftware.imagescal,,,en,application,,
application/vnd.3M.Post-it-Notes,,,en,application,,
application/vnd.accpac.simply.aso,,,en,application,,
application/vnd.accpac.simply.imp,,,en,application,,
application/vnd.acucobol,,,en,application,,
application/vnd.acucorp,,,en,application,,
application/vnd.adobe.flash.movie,,,en,application,,
application/vnd.adobe.formscentral.fcdt,,,en,application,,
application/vnd.adobe.fxp,,,en,application,,
application/vnd.adobe.partial-upload,,,en,application,,
application/vnd.adobe.xdp+xml,,,en,application,,
application/vnd.adobe.xfdf,,,en,application,,
application/vnd.aether.imp,,,en,application,,
application/vnd.ah-barcode,,,en,application,,
application/vnd.ahead.space,,,en,application,,
application/vnd.airzip.filesecure.azf,,,en,application,,
application/vnd.airzip.filesecure.azs,,,en,application,,
application/vnd.amazon.mobi8-ebook,,,en,application,,
application/vnd.americandynamics.acc,,,en,application,,
application/vnd.amiga.ami,,,en,application,,
application/vnd.amundsen.maze+xml,,,en,application,,
application/vnd.anki,,,en,application,,
application/vnd.anser-web-certificate-issue-initiation,,,en,application,,
application/vnd.antix.game-component,,,en,application,,
application/vnd.apache.thrift.binary,,,en,application,,
application/vnd.apache.thrift.compact,,,en,application,,
