code,name,description,language,category,category-name,category-description
WAD,wadi,"a valley or ravine, bounded by relatively steep banks, which in the rainy season becomes a watercourse; found primarily in North Africa and the Middle East",en,H,Hydrographic,
WADB,wadi bend,a conspicuously curved or bent segment of a wadi,en,H,Hydrographic,
WADJ,wadi junction,a place where two or more wadies join,en,H,Hydrographic,
WADM,wadi mouth,"the lower terminus of a wadi where it widens into an adjoining floodplain, depression, or waterbody",en,H,Hydrographic,
WADS,wadies,"valleys or ravines, bounded by relatively steep banks, which in the rainy season become watercourses; found primarily in North Africa and the Middle East",en,H,Hydrographic,
WALL,wall,"a thick masonry structure, usually enclosing a field or building, or forming the side of a structure",en,S,Spot Features,
MLWTR,water mill,a mill powered by running water,en,S,Spot Features,
PMPW,water pumping station,a facility for pumping water from a major well or through a pipeline,en,S,Spot Features,
RSVT,water tank,"a contained pool or tank of water at, below, or above ground level",en,H,Hydrographic,
WTRC,watercourse,"a natural, well-defined channel produced by flowing water, or an artificial channel designed to carry flowing water",en,H,Hydrographic,
FLLS,waterfall(s),a perpendicular or very steep descent of the water of a stream,en,H,Hydrographic,
WTRH,waterhole(s),"a natural hole, hollow, or small depression that contains water, used by man and animals, especially in arid areas",en,H,Hydrographic,
WTRW,waterworks,a facility for supplying potable water through a water source and a system of pumps and filtration beds,en,S,Spot Features,
WEIR,weir(s),"a small dam in a stream, designed to raise the water level or to divert stream flow through a desired channel",en,S,Spot Features,
WLL,well,"a cylindrical hole, pit, or tunnel drilled or dug down to a depth from which water, oil, or gas can be pumped or brought to the surface",en,H,Hydrographic,
WLLS,wells,"cylindrical holes, pits, or tunnels drilled or dug down to a depth from which water, oil, or gas can be pumped or brought to the surface",en,H,Hydrographic,
WTLD,wetland,"an area subject to inundation, usually characterized by bog, marsh, or swamp vegetation",en,H,Hydrographic,
STNW,whaling station,a facility for butchering whales and processing train oil,en,S,Spot Features,
WHRF,wharf(-ves),a structure of open rather than solid construction along a shore or a bank which provides berthing for ships and cargo-handling facilities,en,S,Spot Features,
WHRL,whirlpool,"a turbulent, rotating movement of water in a stream",en,H,Hydrographic,
RESW,wildlife reserve,a tract of public land reserved for the preservation of wildlife,en,L,Area,
MLWND,windmill,a mill or water pump powered by wind,en,S,Spot Features,
WRCK,wreck,the site of the remains of a wrecked vessel,en,S,Spot Features,
ZN,zone,zone,en,A,Administrative Region,
ZOO,zoo,a zoological garden or park where wild animals are kept for exhibition,en,S,Spot Features,
