code,name,description,category,url,status,public-database
MW-RG,,,MW,https://www.registrargeneral.gov.mw/index.html,active,False
MX-CPA,,,MX,http://www.transparenciapresupuestaria.gob.mx/work/models/PTP/DatosAbiertos/Metadatos/catalogos_presupuestarios.xlsx,active,True
MX-RFC,,,MX,https://portalsat.plataforma.sat.gob.mx/ConsultaRFC/,active,False
MY-SSM,,,MY,http://www.ssm.com.my/ms,active,True
MZ-CR,,,MZ,http://www.portaldogoverno.gov.mz/Empresas/Registos/Registo-de-Sociedades,active,False
MZ-MOJ,,,MZ,http://www.commonwealthofnations.org/sectors-mozambique/civil_society/,active,False
MZ-NUIT,,,MZ,http://www.at.gov.mz/eng/Internacional-Trade/FAQ-s/NUIT,active,False
NG-BPP,,,NG,http://federalcontractors.bpp.gov.ng/,active,True
NG-CAC,,,NG,http://new.cac.gov.ng/home/,active,False
NL-KVK,,,NL,https://www.kvk.nl/english/,active,False
NL-OWMS,,,NL,http://standaarden.overheid.nl/owms/4.0/doc/waardelijsten,active,False
NO-BRC,,,NO,http://www.brreg.no/,active,False
NP-CRO,,,NP,http://www.cro.gov.np/,active,False
NP-SWC,,,NP,http://www.swc.org.np/,active,False
PE-SUNARP,,,PE,https://www.sunarp.gob.pe/dn-personas-juridicas.asp,active,True
PH-SEC,,,PH,http://www.sec.gov.ph/,active,False
PK-PCP,,,PK,http://pcp.org.pk/index.php,withdrawn,False
PK-VSWA,,,PK,http://social_welfare.kp.gov.pk/,active,False
PL-KRS,,,PL,https://ems.ms.gov.pl/krs/wyszukiwaniepodmiotu,active,True
PL-NIP,,,PL,https://pl.wikipedia.org/wiki/NIP,active,True
PL-REGON,,,PL,"http://stat.gov.pl/en/metainformations/glossary/terms-used-in-official-statistics/2963,term.html",active,True
PS-MOI,,,PS,http://www.moi.pna.ps/NGOs/List,active,False
PT-NIPPC,,,PT,https://www.portaldocidadao.pt/,active,True
PY-PGN,,,PY,http://www.hacienda.gov.py/web-hacienda/archivo.php?a=keke1117221b211c20db1d141bdedcdde2db1019ke2016131610ke111c1fdedcdde2da1d1113ke0ac&x=6262001&y=keke0ac,active,True
PY-RUC,,,PY,http://www.hacienda.gov.py/web-hacienda/index.php?c=77,active,True
RO-CUI,,,RO,http://www.onrc.ro/index.php/ro/,active,True
RS-APR,,,RS,http://www.apr.gov.rs/eng/Home.aspx,active,False
RS-PIB,,,RS,http://www.poreskauprava.gov.rs/pib.html,active,True
RU-INN,,,RU,https://russianpartner.biz/,active,True
RU-OGRN,,,RU,https://www.egrul.ru/,active,True
SE-BLV,,,SE,http://www.bolagsverket.se/,withdrawn,False
SE-KK,,,SE,https://www.kammarkollegiet.se/,withdrawn,False
SE-ON,,,SE,http://www.bolagsverket.se/ff/foretagsformer/organisationsnummer-1.7902,active,True
SG-ACRA,,,SG,http://www.acra.gov.sg/,active,False
SI-PRS,,,SI,http://www.ajpes.eu/prs/,active,True
SI-TIN,,,SI,https://www.ajpes.eu/,active,True
SK-ORSR,,,SK,http://www.orsr.sk/search_subjekt.asp?lan=en,active,False
SK-ZRSR,,,SK,http://www.orsr.sk/search_subjekt.asp?lan=en,withdrawn,False
SN-NINEA,,,SN,http://creationdentreprise.sn/en/finding-business,active,True
SS-RRC,,,SS,,active,False
TR-MERSIS,,,TR,https://mersis.gtb.gov.tr/,active,True
TR-MOI,,,TR,https://www.dernekler.gov.tr/,active,False
TZ-BRLA,,,TZ,http://www.brela.go.tz/,active,False
TZ-TRA,,,TZ,https://www.tra.go.tz/index.php,active,False
UA-EDR,,,UA,https://usr.minjust.gov.ua/ua/home,active,False
UG-NGB,,,UG,http://www.mia.go.ug/?page_id=62,active,False
UG-RSB,,,UG,http://www.ursb.go.ug/,active,False
US-DOS,,,US,http://www.companieshouse.gov.uk/links/usaLink.shtml,withdrawn,False
US-EIN,,,US,https://apps.irs.gov/app/eos/,active,False
US-USAGOV,,,US,https://www.usa.gov/,active,False
UZ-KTUT,,,UZ,https://my.gov.uz/uz/regService/413,active,False
XE-EXAMPLE,,,-,,active,False
XI-EORI,,,XI,http://ec.europa.eu/taxation_customs/dds2/eos/eori_validation.jsp,active,False
XI-GRID,,,-,https://www.grid.ac/,active,False
XI-IATI,,,-,http://iatistandard.org/codelists/IATIOrganisationIdentifier/,active,False
XI-PB,,,BR,http://publicbodies.org/,active,False
XI-PID,,,XI,https://permid.org,active,False
XI-WIKIDATA,,,XI,https://www.wikidata.org/,active,True
XM-DAC,,,-,http://www.oecd.org/dac/stats/dacandcrscodelists.htm,active,False
XM-OCHA,,,-,http://www.unocha.org,active,False
XR-NUTS,,,HR,http://ec.europa.eu/eurostat/web/nuts/local-administrative-units,active,False
ZA-CIP,,,ZA,http://www.cipro.gov.za/,active,False
ZA-NPO,,,ZA,http://www.npo.gov.za/,active,False
ZA-PBO,,,ZA,http://www.sars.gov.za/home.asp?pid=170,withdrawn,False
ZM-PCR,,,ZM,http://www.pacra.org.zm/,active,False
ZW-PVO,,,ZW,,active,False
ZW-ROD,,,ZW,http://www.dcip.gov.zw/,active,False
